Price,zip,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Hightest_Rated_School
499900,85041,2017,4,2.0,1916.0,4.5,76.54
479500,85042,1999,3,2.0,1528.0,2.9,76.54
549000,85016,1949,3,2.0,2273.0,3.2,97.13
409000,85051,1964,4,2.0,1722.0,4.3,91.9
375000,85017,1958,3,1.75,2028.0,4.1,100.04
498000,85041,2005,3,2.0,1651.0,4.5,76.54
535000,85339,2014,4,2.5,2992.0,2.0,94.47
450000,85339,2003,4,2.5,2099.0,2.0,94.47
499000,85042,2013,4,2.5,1976.0,2.9,76.54
899000,85029,1969,3,2.0,1884.0,3.3,91.9
600000,85257,1959,4,2.0,2018.0,2.5,101.35
680000,85020,1956,3,2.0,1943.0,2.1,97.13
455000,85006,1925,3,2.0,1638.0,1.9,94.44
390000,85051,1971,3,1.75,1508.0,4.3,91.9
499999,85302,1974,4,2.5,2992.0,0.0,91.9
420000,85053,1978,3,2.0,1870.0,1.5,91.9
510000,85304,1979,3,2.0,1977.0,0.2,91.9
392000,85301,1955,3,2.0,1489.0,0.0,100.04
999999,85254,1975,5,3.5,3545.0,1.1,99.97
415000,85303,1973,4,1.0,1492.0,0.0,95.89
463000,85051,1980,3,2.0,1768.0,4.3,91.9
324990,85035,1975,3,2.0,1064.0,3.3,95.89
498700,85019,1968,4,3.5,2320.0,2.5,100.04
419900,85301,2004,3,2.0,1092.0,0.0,100.04
524900,85022,1956,3,2.0,1728.0,2.6,99.97
455000,85031,1956,5,3.0,1941.0,2.4,100.04
344900,85041,1971,4,2.0,1401.0,4.5,76.54
354900,85017,1955,3,1.5,1591.0,4.1,100.04
699900,85251,1960,3,2.0,1560.0,0.0,101.35
699300,85014,1949,3,2.0,1432.0,1.9,97.13
475000,85029,1965,3,2.0,1940.0,3.3,91.9
695000,85022,1998,3,2.5,2697.0,2.6,99.97
890000,85028,1974,4,2.0,2256.0,0.6,99.97
295375,85040,1958,3,1.0,918.0,2.8,76.54
849988,85018,1954,3,2.5,1609.0,2.2,75.8
