ID,Price,Address,zip,status,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT
244,475000,5025 W DESERT COVE AVE,85304,UCB (Under Contract-Backups),GREENBRIER UNIT 3,1974,3,2,1772
245,475000,11424 N 37TH AVE,85029,Active,KNOELL NORTH 5,1971,3,2,1590
246,799900,3115 E YUCCA ST,85028,Active,MELROSE PARADISE 1,1960,4,3,2053
247,355000,3834 W POLK ST,85009,Active,"REYNOLDS PARK 4 TO 7, A, B, C",1956,3,2,1476
248,415000,2232 W STATE AVE,85021,Active,NEW CASTLE HOMES 2A,1957,3,2,1694
249,429000,948 W 16TH ST,85281,Active,MARILYN ANN UNIT 2,1962,3,2,1280
250,435000,3911 W Desert Cove AVE,85029,Active,Marlborough Country Metro Unit 1,1978,3,2,1338
251,300000,3540 W CORONADO RD,85009,Active,MCDOWELL HOMESITES,1946,2,1,712
252,974900,3428 E CAMPBELL AVE,85018,Active,CASA MARBELLA AMD,1969,3,2,2038
253,385000,6131 N 36TH DR,85019,Active,BETHANY ROSE VILLA,1952,4,2,1781
254,440000,5734 W COOLIDGE ST,85031,Active,MARYVALE TERRACE 14A,1957,3,1.75,2106
255,395999,6914 W SIERRA VISTA DR,85303,Active,BRIGHTON MANOR,1986,3,2,1434
256,925000,309 E HAYWARD AVE,85020,Active,PALM HEIGHTS 3,1950,4,4,2290
257,505000,2441 E ALTA VISTA RD,85042,Active,ARBORS,2019,3,2,1741
258,340000,4545 N 67TH AVE 1205,85033,Active,VILLAGE AT WEST MEADOW 1 REPLAT,2000,2,2,919
259,411000,4050 W GOLDEN LN,85051,Active,NEWCASTLE HOMES 5,1962,4,2,1530
260,525000,5133 W HEARN RD,85306,Active,DEERVIEW UNIT 15,1972,4,3,2332
261,369900,7913 W TUCKEY LN,85303,Active,CHAPARRAL COUNTRY AMD,1986,3,2,1242
262,379000,7332 W WELDON AVE,85033,Active,COLLEGE PARK 21,1981,4,2,1552
263,698900,3030 E CHERYL DR,85028,Active,RAMSES 1,1971,3,2.5,2093
264,485000,315 W KELTON LN,85023,Active,MOONLIGHT GLEN 2,1995,3,2,1370
265,399800,4952 W PIERSON ST,85031,Active,MARYVALE TERRACE 2B LOTS 787-951,1955,3,2,1336
266,445000,3730 W MERCER LN,85029,Active,SUNSET NORTH,1970,4,2,2485
267,985000,3526 E HAZELWOOD ST,85018,Active,CHESTLEY TERRACE,1952,5,2,2548
268,755000,4840 E BLANCHE DR,85254,Active,LIBERTY SQUARE 2,1984,3,2,1716
269,689000,5807 N 18TH ST,85016,Active,Wrigley Terrace Beverly Park,1953,3,2,1670
270,729000,13823 N 19TH ST,85022,Active,CAVE CREEK UNIT 3,1987,4,3,2527
271,375000,2816 W MARSHALL AVE,85017,Active,MARYVALE PARK 2,1953,3,1.5,1689
272,440000,5225 W ODEUM LN,85043,UCB (Under Contract-Backups),RIVERBEND 1 UNIT A,2007,4,2,1949
