ID,Price,Address,zip,status,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT
248,440000,5337 W Sanna ST,85302,Closed,Olive West 4,1972,4,2,1880
249,430000,3222 W HEARN RD,85053,Closed,DEERVIEW UNIT 1,1966,4,2,2127
250,375000,6819 W BERKELEY RD,85035,Closed,MARYVALE TERRACE NO. 41,1977,3,1,1120
251,405000,5607 W ROANOKE AVE,85035,Closed,HOMESTEAD TERRACE UNIT 6,1970,3,2,1628
252,320000,2205 W CAMBRIDGE AVE,85009,Closed,HENSON TRACT,1954,3,1,950
253,578500,4736 E EDGEMONT AVE,85008,Closed,RANCHO VENTURA TR 29,1955,3,2,1713
254,302000,3231 W MONTECITO AVE,85017,Closed,LYNNHAVEN PLAT 4,1954,3,2,1118
255,436000,3119 W POLLACK ST,85041,Closed,LAVEEN VILLAGE AMD,2003,3,2.5,2040
256,320000,3920 W Rancho DR,85019,Closed,WEST PLAZA 18,1966,3,2,1828
257,599000,8310 E GRANADA RD,85257,Closed,"COX HEIGHTS 2 LOT 270-288, 297-381",1959,3,2,1380
258,788000,3043 E FLOWER ST,85016,Closed,CLAREMORE ESTATES,1958,3,3,1937
259,545000,1142 E FLYNN LN,85014,Closed,BEVERLY MANOR ESTATES,1951,3,2,1317
260,580000,3308 E CLARENDON AVE,85018,Closed,MARSHALL PARKWAY,1950,2,1,1292
261,455000,7413 S 45TH DR,85339,Closed,ROGERS RANCH UNIT 4,2005,3,2,1661
262,452000,9641 N 41ST DR,85051,Closed,NEWCASTLE VILLAGE 4,1971,3,2,1759
263,470000,1037 E Glenrosa AVE,85014,Closed,Devonshire Manor,1950,2,1.75,1084
264,675000,1021 W AIRE LIBRE AVE,85023,Closed,MOONLIGHT COVE 3,1995,4,2,1816
265,593000,3458 E ACOMA DR,85032,Closed,PARADISE VALLEY OASIS NO. 10,1978,3,2,1648
266,490000,7307 N 23RD DR,85021,Closed,WESTWOOD HEIGHTS 4,1964,3,2,1620
267,416000,6533 W MOUNTAIN VIEW RD,85302,Closed,BRAEMAR GLEN UNIT 1,1974,4,2,1630
268,451000,3821 W SHUMWAY FARM RD,85041,Closed,CAMERON CREEK,2004,4,2.5,2169
